soil_type,soil_pH,temperature,humidity,organic_carbon,sodium,potassium,nitrogen,phosphorus,Soil_Quality,Disease,soil_type_encoded,Disease_encoded
Limoneux,7.1,26.9,46.7,1.08,113.3,116.1,13.8,17.5,Moyenne,Fusariose,4,2
Ferrugineux tropicaux,6.0,34.4,38.2,0.46,138.5,70.8,22.9,26.2,Faible,Sclérotiniose,1,4
Argilo-sableux,6.7,28.4,33.9,0.66,99.6,166.7,39.7,10.4,Moyenne,Nématodose,0,3
Hydromorphes,6.7,27.4,68.9,1.11,131.5,117.5,21.4,10.2,Moyenne,Anthracnose,3,0
Graveleux,5.9,38.4,17.4,0.24,72.9,193.4,31.7,28.9,Faible,Anthracnose,2,0
Limoneux,7.0,30.9,42.1,1.03,142.8,151.8,36.9,13.3,Élevée,Fusariose,4,2
Ferrugineux tropicaux,5.8,33.8,38.7,0.35,120.7,75.6,16.6,8.9,Faible,Anthracnose,1,0
Hydromorphes,6.9,29.9,69.0,1.17,121.2,198.6,33.0,8.9,Élevée,Nématodose,3,3
Graveleux,5.5,39.9,29.6,0.19,111.7,123.1,23.4,28.3,Faible,Fusariose,2,2
Limoneux,6.6,30.2,43.8,0.94,71.9,83.0,29.3,5.1,Moyenne,Anthracnose,4,0
Limoneux,6.8,31.1,51.1,0.91,86.9,80.3,20.4,19.5,Moyenne,Sclérotiniose,4,4
Graveleux,5.7,37.6,26.7,0.19,100.5,174.1,39.9,10.8,Faible,Charcoal Rot,2,1
Limoneux,6.6,28.2,47.9,0.82,73.5,104.1,34.8,22.7,Moyenne,Anthracnose,4,0
Ferrugineux tropicaux,5.3,34.7,32.1,0.38,145.7,77.4,26.1,9.0,Faible,Anthracnose,1,0
Argilo-sableux,6.8,31.1,35.3,0.59,73.8,122.9,30.1,15.0,Moyenne,Nématodose,0,3
Limoneux,6.7,31.6,44.9,1.0,67.7,134.6,32.7,7.3,Élevée,Fusariose,4,2
Sableux,6.0,37.6,31.1,0.35,110.5,75.2,16.6,24.7,Faible,Sclérotiniose,5,4
Graveleux,5.4,38.0,27.3,0.2,97.2,184.8,22.2,11.5,Faible,Fusariose,2,2
Hydromorphes,6.3,29.0,66.5,1.36,137.7,187.5,21.3,8.9,Moyenne,Sclérotiniose,3,4
Limoneux,6.8,27.4,53.0,0.84,87.5,142.5,39.9,12.0,Moyenne,Charcoal Rot,4,1
Graveleux,5.6,38.6,17.9,0.19,87.3,88.0,25.1,7.0,Faible,Sclérotiniose,2,4
Hydromorphes,6.6,28.8,65.0,1.25,91.2,172.2,39.8,19.3,Élevée,Charcoal Rot,3,1
Graveleux,5.1,38.8,18.1,0.16,103.9,83.4,36.4,21.0,Faible,Anthracnose,2,0
Sableux,6.0,35.6,33.3,0.24,141.4,131.5,31.3,13.5,Faible,Anthracnose,5,0
Sableux,5.8,32.2,20.8,0.38,80.2,191.4,12.2,8.7,Faible,Charcoal Rot,5,1
Hydromorphes,6.6,27.9,69.2,1.15,79.5,143.9,26.8,21.7,Moyenne,Sclérotiniose,3,4
Sableux,6.3,33.1,20.8,0.23,98.7,86.0,20.7,14.8,Faible,Sclérotiniose,5,4
Argilo-sableux,6.5,30.9,38.0,0.62,109.1,139.0,17.2,18.7,Moyenne,Sclérotiniose,0,4
Hydromorphes,6.4,29.4,58.7,1.44,119.7,125.2,38.8,17.9,Élevée,Anthracnose,3,0
Limoneux,6.9,31.0,42.0,1.09,124.2,153.1,17.0,5.3,Moyenne,Anthracnose,4,0
Graveleux,5.7,36.3,19.0,0.11,137.3,96.8,15.9,22.0,Faible,Fusariose,2,2
Sableux,5.9,33.4,24.5,0.22,129.3,126.0,16.3,23.1,Faible,Nématodose,5,3
Hydromorphes,6.1,27.4,66.6,1.43,120.5,72.8,19.4,13.4,Moyenne,Charcoal Rot,3,1
Limoneux,7.3,27.1,40.6,1.13,102.0,92.3,17.2,19.9,Moyenne,Sclérotiniose,4,4
Hydromorphes,6.9,26.6,61.0,1.14,103.7,188.5,33.5,12.2,Élevée,Fusariose,3,2
Hydromorphes,6.1,27.4,65.3,1.24,117.6,108.9,11.8,10.1,Moyenne,Nématodose,3,3
Sableux,5.5,37.2,28.0,0.34,92.5,131.8,34.6,17.2,Faible,Fusariose,5,2
Limoneux,7.1,30.2,43.6,1.05,69.9,93.3,12.8,15.2,Moyenne,Anthracnose,4,0
Ferrugineux tropicaux,5.8,33.8,26.7,0.43,63.7,166.2,31.8,27.1,Faible,Nématodose,1,3
Ferrugineux tropicaux,6.0,32.4,22.2,0.38,115.1,109.6,31.1,8.3,Faible,Fusariose,1,2
Hydromorphes,6.9,26.7,64.9,1.15,92.6,199.6,37.9,18.6,Élevée,Charcoal Rot,3,1
Ferrugineux tropicaux,5.0,34.9,26.4,0.41,71.7,115.2,29.3,14.2,Faible,Anthracnose,1,0
Sableux,6.3,33.2,34.7,0.32,87.8,184.0,23.1,6.3,Faible,Anthracnose,5,0
Argilo-sableux,6.4,34.0,41.6,0.69,67.5,121.7,27.7,9.0,Moyenne,Fusariose,0,2
Argilo-sableux,6.6,28.0,35.4,0.57,142.7,149.2,32.5,11.4,Moyenne,Nématodose,0,3
Limoneux,7.5,26.9,46.0,0.86,121.9,172.5,24.8,27.0,Moyenne,Fusariose,4,2
Graveleux,5.5,35.0,17.7,0.16,139.1,191.8,30.7,10.0,Faible,Charcoal Rot,2,1
Limoneux,7.0,31.2,50.3,0.99,103.9,73.4,28.0,18.9,Moyenne,Anthracnose,4,0
Graveleux,5.7,38.6,28.4,0.29,87.8,174.7,33.7,12.9,Faible,Fusariose,2,2
Hydromorphes,6.6,25.6,58.1,1.21,112.8,180.3,10.2,17.4,Moyenne,Fusariose,3,2
Sableux,5.7,38.0,26.5,0.31,110.9,144.5,12.3,20.4,Faible,Nématodose,5,3
Argilo-sableux,6.6,32.1,37.2,0.69,132.1,98.1,37.6,28.3,Moyenne,Charcoal Rot,0,1
Hydromorphes,6.1,27.8,52.9,1.03,128.0,91.4,37.1,26.7,Élevée,Anthracnose,3,0
Ferrugineux tropicaux,5.3,33.4,31.7,0.4,126.9,169.3,34.7,20.4,Faible,Sclérotiniose,1,4
Argilo-sableux,7.0,29.9,36.2,0.69,93.5,80.2,35.5,10.7,Moyenne,Charcoal Rot,0,1
Limoneux,6.8,31.7,42.9,1.03,135.3,130.7,17.6,29.0,Moyenne,Sclérotiniose,4,4
Graveleux,5.9,36.6,20.6,0.21,62.0,77.6,21.7,23.5,Faible,Charcoal Rot,2,1
Ferrugineux tropicaux,5.8,30.6,31.3,0.34,100.3,149.7,22.3,9.1,Faible,Fusariose,1,2
Hydromorphes,6.7,25.8,62.7,1.3,133.0,81.7,23.4,27.2,Moyenne,Fusariose,3,2
Ferrugineux tropicaux,5.5,35.4,39.5,0.35,128.1,198.4,16.5,23.6,Faible,Nématodose,1,3
Graveleux,5.9,36.6,29.8,0.16,91.7,87.4,10.8,14.8,Faible,Sclérotiniose,2,4
Ferrugineux tropicaux,6.0,33.8,30.1,0.49,95.0,93.3,14.1,19.4,Faible,Nématodose,1,3
Argilo-sableux,6.4,30.5,31.2,0.51,82.6,89.1,34.3,11.0,Moyenne,Charcoal Rot,0,1
Hydromorphes,6.3,25.2,60.5,1.14,118.6,113.9,27.2,29.2,Moyenne,Charcoal Rot,3,1
Graveleux,5.8,36.4,25.7,0.28,96.7,80.5,12.8,28.8,Faible,Sclérotiniose,2,4
Limoneux,6.6,26.2,51.0,1.19,127.8,95.7,10.2,14.4,Moyenne,Anthracnose,4,0
Ferrugineux tropicaux,5.1,34.1,32.7,0.5,100.6,128.9,20.5,24.8,Moyenne,Sclérotiniose,1,4
Hydromorphes,6.5,26.7,51.7,1.46,73.8,133.4,28.8,20.7,Moyenne,Nématodose,3,3
Limoneux,7.2,27.0,54.6,0.94,73.9,83.5,38.2,14.5,Moyenne,Charcoal Rot,4,1
Ferrugineux tropicaux,5.1,32.3,37.5,0.44,65.1,180.1,35.1,28.8,Faible,Anthracnose,1,0
Hydromorphes,6.8,29.2,52.1,1.29,136.6,169.9,21.3,27.7,Moyenne,Nématodose,3,3
Argilo-sableux,6.0,34.0,43.1,0.6,85.9,83.1,24.1,26.1,Moyenne,Nématodose,0,3
Hydromorphes,6.5,25.3,66.3,1.12,111.7,129.9,25.2,10.7,Moyenne,Charcoal Rot,3,1
Graveleux,5.2,34.4,26.4,0.21,96.4,183.8,14.3,14.8,Faible,Sclérotiniose,2,4
Graveleux,5.6,35.1,23.1,0.13,79.6,199.5,34.5,12.4,Faible,Sclérotiniose,2,4
Ferrugineux tropicaux,5.4,32.5,35.7,0.41,76.7,131.6,13.3,26.2,Faible,Anthracnose,1,0
Graveleux,5.5,34.6,18.3,0.19,129.9,133.8,17.5,22.0,Faible,Anthracnose,2,0
Hydromorphes,6.6,26.6,66.3,1.14,102.0,130.3,12.5,12.1,Moyenne,Sclérotiniose,3,4
Sableux,5.7,32.8,29.2,0.37,133.3,141.7,17.0,19.4,Faible,Sclérotiniose,5,4
Argilo-sableux,6.9,31.2,35.2,0.67,133.9,171.1,17.2,5.2,Moyenne,Charcoal Rot,0,1
Hydromorphes,6.1,28.8,53.0,1.31,134.9,115.9,34.1,6.0,Élevée,Anthracnose,3,0
Graveleux,5.8,36.0,22.4,0.18,142.3,74.9,34.2,16.4,Faible,Anthracnose,2,0
Ferrugineux tropicaux,6.0,35.2,30.5,0.37,124.0,95.1,27.3,15.6,Faible,Anthracnose,1,0
Limoneux,7.3,26.7,41.3,1.09,121.1,75.9,31.0,5.4,Élevée,Charcoal Rot,4,1
Argilo-sableux,6.5,31.6,36.9,0.52,84.5,191.9,34.0,16.0,Moyenne,Anthracnose,0,0
Hydromorphes,6.0,28.7,62.8,1.19,64.0,106.5,16.8,20.4,Moyenne,Nématodose,3,3
Limoneux,7.4,28.8,44.1,0.82,109.3,143.4,13.5,28.0,Moyenne,Anthracnose,4,0
Argilo-sableux,6.7,30.6,36.6,0.66,119.7,181.2,31.6,7.5,Moyenne,Anthracnose,0,0
Hydromorphes,6.8,28.5,58.9,1.02,65.6,147.1,13.8,27.4,Moyenne,Charcoal Rot,3,1
Argilo-sableux,6.8,33.5,43.0,0.62,120.8,180.0,33.1,22.8,Moyenne,Anthracnose,0,0
Argilo-sableux,6.5,29.2,32.8,0.59,138.8,85.2,26.2,29.5,Moyenne,Charcoal Rot,0,1
Graveleux,5.5,40.0,24.4,0.14,66.2,194.3,11.4,13.6,Faible,Charcoal Rot,2,1
Graveleux,5.2,35.5,17.8,0.13,65.7,160.2,12.7,12.6,Faible,Sclérotiniose,2,4
Ferrugineux tropicaux,5.8,32.4,26.8,0.37,95.5,196.4,23.7,11.4,Faible,Nématodose,1,3
Sableux,5.6,36.6,22.3,0.26,80.2,104.4,10.4,21.4,Faible,Charcoal Rot,5,1
Hydromorphes,6.8,29.5,66.8,1.2,65.7,92.1,10.1,6.0,Moyenne,Anthracnose,3,0
Argilo-sableux,6.7,33.6,40.0,0.5,72.1,167.1,33.8,30.0,Moyenne,Fusariose,0,2
Limoneux,7.2,31.4,46.4,1.04,139.8,100.6,24.3,18.2,Moyenne,Fusariose,4,2
Sableux,5.6,35.6,21.7,0.27,85.3,70.2,12.7,9.2,Faible,Sclérotiniose,5,4
Hydromorphes,6.4,26.3,66.3,1.21,112.9,73.9,34.1,28.3,Élevée,Fusariose,3,2
Ferrugineux tropicaux,5.4,33.2,24.0,0.48,140.9,105.3,20.7,20.3,Faible,Anthracnose,1,0
Graveleux,5.5,35.5,18.7,0.15,77.1,129.6,19.5,20.5,Faible,Sclérotiniose,2,4
Limoneux,7.2,26.7,45.1,1.04,111.5,137.9,17.0,24.9,Moyenne,Sclérotiniose,4,4
Argilo-sableux,6.9,29.8,39.9,0.64,149.2,106.0,30.4,18.2,Moyenne,Charcoal Rot,0,1
Argilo-sableux,6.1,31.9,33.1,0.57,132.9,168.5,16.2,27.3,Moyenne,Charcoal Rot,0,1
Hydromorphes,6.7,25.9,60.8,1.36,110.1,171.1,27.4,19.9,Moyenne,Sclérotiniose,3,4
Limoneux,7.0,26.8,49.1,1.04,72.6,79.9,14.6,11.6,Moyenne,Nématodose,4,3
Ferrugineux tropicaux,5.5,31.9,20.2,0.45,80.8,76.6,22.9,10.4,Faible,Fusariose,1,2
Ferrugineux tropicaux,6.0,32.5,37.9,0.44,102.8,84.3,19.2,5.1,Faible,Nématodose,1,3
Sableux,5.5,32.7,34.4,0.24,126.4,191.2,10.6,18.4,Faible,Sclérotiniose,5,4
Limoneux,7.0,27.7,48.0,0.91,136.4,82.7,31.4,16.7,Moyenne,Sclérotiniose,4,4
Ferrugineux tropicaux,5.5,33.5,35.6,0.43,130.6,148.0,37.9,29.8,Faible,Sclérotiniose,1,4
Argilo-sableux,6.5,30.3,36.6,0.61,75.2,185.5,28.5,13.8,Moyenne,Anthracnose,0,0
Limoneux,7.0,31.9,46.5,0.86,107.3,88.0,10.3,27.5,Moyenne,Fusariose,4,2
Ferrugineux tropicaux,5.8,31.6,32.1,0.33,116.2,168.1,36.5,12.5,Faible,Anthracnose,1,0
Hydromorphes,6.7,27.8,61.8,1.26,60.2,99.0,11.3,5.6,Moyenne,Charcoal Rot,3,1
Graveleux,5.3,35.8,24.8,0.11,64.3,109.6,18.4,24.7,Faible,Sclérotiniose,2,4
Hydromorphes,6.9,26.6,56.2,1.11,63.9,174.9,19.7,12.8,Moyenne,Nématodose,3,3
Graveleux,5.6,37.3,22.5,0.12,134.5,137.5,25.2,11.4,Faible,Sclérotiniose,2,4
Ferrugineux tropicaux,5.3,32.2,36.7,0.36,112.8,80.1,35.6,25.5,Faible,Nématodose,1,3
Limoneux,6.9,27.4,54.3,1.12,132.5,164.8,17.5,26.1,Moyenne,Charcoal Rot,4,1
Limoneux,6.8,27.2,49.3,0.98,132.7,108.8,24.5,7.0,Moyenne,Charcoal Rot,4,1
Ferrugineux tropicaux,5.9,31.7,38.4,0.37,90.1,100.0,21.7,7.1,Faible,Nématodose,1,3
Ferrugineux tropicaux,5.6,31.9,36.7,0.46,63.0,133.8,35.7,21.9,Faible,Anthracnose,1,0
Limoneux,6.8,28.1,43.8,0.9,70.6,137.9,12.7,18.7,Moyenne,Nématodose,4,3
Hydromorphes,6.6,29.1,65.0,1.08,123.1,96.6,22.7,6.0,Moyenne,Charcoal Rot,3,1
Hydromorphes,6.4,26.4,69.9,1.39,94.0,105.5,16.3,8.5,Moyenne,Charcoal Rot,3,1
Argilo-sableux,6.5,31.8,30.9,0.58,135.2,80.0,36.8,6.3,Moyenne,Nématodose,0,3
Sableux,6.1,36.2,21.2,0.29,77.6,154.8,39.4,6.6,Faible,Charcoal Rot,5,1
Limoneux,6.6,27.7,41.6,1.08,91.3,184.3,31.7,7.4,Élevée,Sclérotiniose,4,4
Sableux,5.7,37.1,27.2,0.3,78.9,182.6,38.5,18.1,Faible,Anthracnose,5,0
Ferrugineux tropicaux,5.6,30.9,29.6,0.45,92.4,199.0,11.0,14.6,Faible,Anthracnose,1,0
Limoneux,7.1,28.1,51.3,1.13,85.0,191.7,36.5,18.3,Élevée,Nématodose,4,3
Ferrugineux tropicaux,5.6,35.9,24.4,0.33,103.8,102.7,15.5,7.6,Faible,Fusariose,1,2
Sableux,5.8,36.6,24.5,0.29,74.5,108.7,12.8,13.4,Faible,Nématodose,5,3
Sableux,6.0,33.5,22.7,0.39,104.9,73.4,25.5,10.5,Faible,Sclérotiniose,5,4
Limoneux,7.2,26.8,45.0,0.91,122.7,116.3,31.0,10.9,Moyenne,Nématodose,4,3
Argilo-sableux,6.6,29.9,31.9,0.56,87.0,76.9,22.0,17.9,Moyenne,Sclérotiniose,0,4
Ferrugineux tropicaux,5.9,31.0,22.6,0.37,65.9,169.8,17.1,14.3,Faible,Fusariose,1,2
Hydromorphes,6.9,26.3,68.2,1.4,135.8,157.2,31.0,22.0,Élevée,Nématodose,3,3
Limoneux,6.7,32.0,50.2,1.0,148.5,170.8,10.7,15.1,Moyenne,Fusariose,4,2
Graveleux,5.9,38.6,19.7,0.11,109.0,164.9,35.9,10.6,Faible,Charcoal Rot,2,1
Ferrugineux tropicaux,5.6,33.4,25.7,0.41,101.1,98.7,23.3,17.5,Faible,Fusariose,1,2
Graveleux,5.1,34.4,27.1,0.24,148.7,152.0,34.6,9.8,Faible,Anthracnose,2,0
Argilo-sableux,6.1,31.6,33.2,0.56,75.4,122.7,11.5,23.3,Moyenne,Sclérotiniose,0,4
Graveleux,6.0,36.0,17.2,0.16,100.2,180.6,34.1,8.2,Faible,Charcoal Rot,2,1
Graveleux,5.5,36.3,20.4,0.28,98.5,119.1,33.6,20.4,Faible,Sclérotiniose,2,4
Limoneux,7.0,26.7,42.7,1.08,93.4,119.4,22.4,8.4,Moyenne,Sclérotiniose,4,4
Graveleux,5.7,39.0,26.0,0.18,138.1,149.4,23.0,20.8,Faible,Charcoal Rot,2,1
Graveleux,5.9,35.6,25.1,0.18,67.4,177.7,31.1,21.0,Faible,Nématodose,2,3
Limoneux,6.6,31.9,46.3,0.85,120.7,183.0,15.1,24.0,Moyenne,Charcoal Rot,4,1
Limoneux,7.5,31.6,43.4,0.97,135.9,89.1,26.1,17.6,Moyenne,Anthracnose,4,0
Hydromorphes,6.9,29.9,56.6,1.32,138.8,104.8,24.4,11.0,Moyenne,Anthracnose,3,0
Sableux,6.5,32.6,32.2,0.25,69.5,149.2,38.9,16.9,Faible,Nématodose,5,3
Limoneux,6.5,28.5,50.2,0.96,139.6,86.8,14.8,15.7,Moyenne,Anthracnose,4,0
Sableux,5.6,35.0,33.2,0.33,78.5,167.7,20.3,24.8,Faible,Charcoal Rot,5,1
Limoneux,7.3,30.3,53.0,0.85,64.2,78.8,18.0,18.3,Moyenne,Sclérotiniose,4,4
Hydromorphes,6.2,28.5,69.5,1.39,104.0,124.2,13.9,24.9,Moyenne,Anthracnose,3,0
Hydromorphes,6.6,26.2,58.2,1.12,119.6,99.7,24.1,21.3,Moyenne,Fusariose,3,2
Sableux,5.8,33.4,34.4,0.39,121.8,182.4,11.2,6.9,Faible,Charcoal Rot,5,1
Sableux,6.3,36.9,26.1,0.21,137.5,97.8,13.7,24.5,Faible,Fusariose,5,2
Argilo-sableux,6.2,32.6,39.2,0.67,99.6,189.2,28.8,18.8,Moyenne,Nématodose,0,3
Sableux,5.9,36.3,31.0,0.32,82.0,144.9,11.9,21.3,Faible,Sclérotiniose,5,4
Graveleux,5.8,37.0,17.1,0.18,71.1,103.8,26.0,24.8,Faible,Charcoal Rot,2,1
Graveleux,5.8,38.1,15.3,0.13,75.0,98.1,17.9,6.8,Faible,Sclérotiniose,2,4
Ferrugineux tropicaux,5.3,34.2,27.2,0.48,106.9,126.1,24.9,9.7,Faible,Charcoal Rot,1,1
Sableux,5.6,37.4,26.4,0.21,128.5,180.8,22.7,6.9,Faible,Nématodose,5,3
Argilo-sableux,6.3,29.6,32.5,0.65,83.5,167.1,26.9,13.9,Moyenne,Anthracnose,0,0
Graveleux,6.0,38.5,15.5,0.18,113.1,152.3,18.7,6.1,Faible,Anthracnose,2,0
Sableux,6.3,34.4,22.7,0.23,115.8,185.7,19.7,21.7,Faible,Nématodose,5,3
Argilo-sableux,6.0,29.4,42.9,0.56,99.9,138.0,38.9,12.8,Moyenne,Charcoal Rot,0,1
Hydromorphes,6.9,26.1,51.6,1.25,137.0,72.2,26.9,15.4,Moyenne,Charcoal Rot,3,1
Ferrugineux tropicaux,5.7,30.3,24.1,0.42,70.3,172.3,23.4,28.6,Faible,Nématodose,1,3
Argilo-sableux,6.0,32.4,42.4,0.67,82.1,125.6,16.4,5.6,Moyenne,Nématodose,0,3
Limoneux,6.7,26.7,41.4,1.06,73.7,155.4,11.3,21.5,Moyenne,Anthracnose,4,0
Hydromorphes,6.8,28.1,50.5,1.03,63.0,115.8,15.1,17.8,Moyenne,Sclérotiniose,3,4
Limoneux,6.7,27.1,40.3,1.02,100.5,168.3,18.5,8.6,Moyenne,Fusariose,4,2
Sableux,5.7,34.2,21.4,0.37,90.8,179.1,20.2,10.3,Faible,Nématodose,5,3
Argilo-sableux,6.5,28.4,31.4,0.53,104.7,198.5,36.5,19.7,Moyenne,Nématodose,0,3
Ferrugineux tropicaux,5.7,33.8,23.1,0.37,87.4,90.9,34.8,26.4,Faible,Fusariose,1,2
Ferrugineux tropicaux,5.4,31.4,27.8,0.44,105.8,99.9,19.0,11.8,Faible,Anthracnose,1,0
Ferrugineux tropicaux,5.9,31.6,27.8,0.49,74.4,189.4,32.6,27.4,Faible,Charcoal Rot,1,1
Hydromorphes,6.2,26.2,61.8,1.48,101.2,140.8,10.9,27.7,Moyenne,Sclérotiniose,3,4
Hydromorphes,6.9,28.3,63.4,1.17,74.7,144.2,18.7,28.5,Moyenne,Fusariose,3,2
Sableux,6.2,36.5,23.4,0.28,69.2,111.7,28.3,8.5,Faible,Charcoal Rot,5,1
Ferrugineux tropicaux,5.0,33.2,38.2,0.42,94.5,110.0,17.3,9.1,Faible,Fusariose,1,2
Limoneux,6.8,28.8,40.3,1.14,101.6,135.9,30.1,26.1,Élevée,Sclérotiniose,4,4
Ferrugineux tropicaux,5.4,32.5,23.9,0.37,111.3,160.6,23.7,25.4,Faible,Sclérotiniose,1,4
Ferrugineux tropicaux,5.3,30.4,35.8,0.39,97.8,122.7,23.6,9.9,Faible,Sclérotiniose,1,4
Ferrugineux tropicaux,5.8,34.4,24.7,0.42,118.1,180.3,34.6,8.1,Faible,Fusariose,1,2
Limoneux,6.9,31.5,51.5,1.08,137.8,173.0,11.8,14.9,Moyenne,Charcoal Rot,4,1
Limoneux,7.2,29.6,41.8,1.12,86.1,82.0,22.3,27.2,Moyenne,Anthracnose,4,0
Ferrugineux tropicaux,5.9,34.4,22.4,0.43,92.8,160.6,24.8,9.3,Faible,Charcoal Rot,1,1
Hydromorphes,6.4,25.9,63.7,1.36,71.0,117.7,37.9,13.3,Élevée,Sclérotiniose,3,4
Sableux,5.9,32.5,33.5,0.24,68.8,147.3,38.0,14.1,Faible,Anthracnose,5,0
Limoneux,6.9,28.5,53.6,0.99,109.9,74.4,39.0,6.6,Moyenne,Charcoal Rot,4,1
Argilo-sableux,6.4,28.4,44.2,0.62,96.7,188.9,18.1,5.4,Moyenne,Sclérotiniose,0,4
Argilo-sableux,6.3,30.6,36.4,0.51,112.4,174.7,16.6,9.4,Moyenne,Sclérotiniose,0,4
Sableux,5.5,35.9,20.7,0.29,111.3,153.3,27.9,15.2,Faible,Nématodose,5,3
Graveleux,5.0,34.4,16.4,0.27,68.6,139.1,25.9,10.1,Faible,Fusariose,2,2
Graveleux,6.0,36.8,16.7,0.22,112.2,126.2,29.9,20.7,Faible,Charcoal Rot,2,1
Hydromorphes,6.8,28.7,64.9,1.46,115.6,138.3,34.4,25.1,Élevée,Charcoal Rot,3,1
Limoneux,7.4,28.3,46.2,0.89,63.4,198.0,20.6,23.2,Moyenne,Sclérotiniose,4,4
Hydromorphes,6.9,25.3,67.4,1.3,80.5,177.8,22.6,13.1,Moyenne,Charcoal Rot,3,1
Hydromorphes,6.5,28.5,69.9,1.38,131.0,146.5,13.2,14.3,Moyenne,Sclérotiniose,3,4
Sableux,6.2,37.9,20.8,0.31,108.9,169.4,35.1,20.0,Faible,Fusariose,5,2
Limoneux,7.3,27.2,48.4,1.16,79.2,164.9,36.0,12.9,Élevée,Nématodose,4,3
Hydromorphes,6.7,27.4,52.1,1.37,81.3,186.2,18.8,20.1,Moyenne,Nématodose,3,3
Sableux,6.0,33.8,32.0,0.37,145.8,184.6,22.8,8.2,Faible,Sclérotiniose,5,4
Limoneux,6.7,30.0,40.9,0.99,71.9,181.7,19.4,10.2,Moyenne,Nématodose,4,3
Hydromorphes,6.9,26.8,54.7,1.11,129.9,99.4,23.2,16.7,Moyenne,Anthracnose,3,0
Graveleux,5.8,35.1,22.2,0.2,71.5,85.3,28.3,22.7,Faible,Nématodose,2,3
Argilo-sableux,6.5,32.2,33.8,0.6,144.2,109.4,34.6,28.0,Moyenne,Charcoal Rot,0,1
Sableux,5.9,32.8,30.0,0.33,94.0,124.9,19.4,9.6,Faible,Sclérotiniose,5,4
Argilo-sableux,6.9,32.3,34.2,0.59,80.8,133.5,36.1,25.0,Moyenne,Fusariose,0,2
Sableux,5.5,34.3,26.2,0.35,126.4,117.4,24.0,6.7,Faible,Nématodose,5,3
Ferrugineux tropicaux,5.9,31.2,26.7,0.37,108.0,135.6,11.9,16.4,Faible,Sclérotiniose,1,4
Argilo-sableux,6.0,28.5,44.6,0.54,106.6,122.1,36.6,10.5,Moyenne,Anthracnose,0,0
Ferrugineux tropicaux,5.6,35.9,29.9,0.36,149.9,133.0,21.8,15.5,Faible,Nématodose,1,3
Hydromorphes,6.7,27.6,57.7,1.21,71.3,142.2,28.4,15.4,Moyenne,Charcoal Rot,3,1
Argilo-sableux,6.6,33.6,31.8,0.63,141.7,155.8,24.3,9.7,Moyenne,Anthracnose,0,0
Limoneux,7.3,30.5,44.4,0.82,110.2,150.8,15.6,5.9,Moyenne,Nématodose,4,3
Ferrugineux tropicaux,5.0,33.0,23.4,0.34,87.3,190.2,32.5,24.2,Faible,Charcoal Rot,1,1
Graveleux,6.0,39.3,26.4,0.13,73.6,96.5,11.6,8.2,Faible,Fusariose,2,2
Sableux,5.9,33.8,33.5,0.32,61.1,161.3,31.0,12.5,Faible,Nématodose,5,3
Graveleux,5.6,34.3,15.5,0.24,119.1,105.3,30.6,17.4,Faible,Nématodose,2,3
Argilo-sableux,6.9,31.0,37.4,0.53,90.2,104.5,21.6,11.3,Moyenne,Anthracnose,0,0
Ferrugineux tropicaux,5.0,35.6,38.3,0.45,86.6,198.0,13.7,5.9,Faible,Nématodose,1,3
Ferrugineux tropicaux,5.8,35.7,34.6,0.32,64.6,188.5,18.6,21.5,Faible,Charcoal Rot,1,1
Argilo-sableux,6.5,32.4,33.2,0.53,127.4,145.1,33.8,21.8,Moyenne,Nématodose,0,3
Limoneux,6.6,29.7,45.1,0.85,146.4,193.0,38.2,22.6,Moyenne,Anthracnose,4,0
Hydromorphes,6.5,29.5,69.9,1.11,85.9,147.5,30.0,8.5,Moyenne,Sclérotiniose,3,4
Ferrugineux tropicaux,5.4,35.9,28.8,0.46,106.9,170.9,19.2,16.6,Faible,Fusariose,1,2
Sableux,6.5,34.3,34.4,0.34,87.0,174.8,25.2,21.6,Faible,Anthracnose,5,0
Argilo-sableux,6.7,32.4,36.9,0.68,146.9,100.8,28.3,8.9,Moyenne,Sclérotiniose,0,4
Limoneux,7.3,29.1,52.9,0.97,134.4,84.3,17.4,27.8,Moyenne,Fusariose,4,2
Hydromorphes,6.2,27.7,60.7,1.45,117.3,152.8,11.7,24.3,Moyenne,Anthracnose,3,0
Graveleux,5.8,36.3,22.0,0.23,124.9,144.8,38.6,18.7,Faible,Charcoal Rot,2,1
Limoneux,7.4,26.5,49.1,0.85,82.4,140.6,33.0,15.5,Moyenne,Anthracnose,4,0
Argilo-sableux,6.0,30.9,44.0,0.65,117.3,84.7,13.7,14.2,Moyenne,Fusariose,0,2
Hydromorphes,6.8,25.6,58.9,1.42,96.6,81.1,29.8,28.5,Moyenne,Fusariose,3,2
Limoneux,7.2,32.0,52.0,0.91,74.6,126.2,29.8,20.9,Moyenne,Anthracnose,4,0
Sableux,6.4,33.9,20.7,0.36,98.9,102.7,26.7,19.9,Faible,Sclérotiniose,5,4
Limoneux,7.2,29.6,54.0,1.09,130.4,98.7,10.4,9.1,Moyenne,Charcoal Rot,4,1
Sableux,6.2,35.9,22.4,0.25,118.8,133.0,22.7,18.5,Faible,Nématodose,5,3
Argilo-sableux,6.9,29.4,39.0,0.57,109.9,153.2,35.7,28.8,Moyenne,Charcoal Rot,0,1
