culture,pH,rainfall_mm,temperature_C
Arachide (Groundnut),5.87,603.9,29.7
Gombo (Okra),6.77,790.4,32.5
Maïs (Maize),6.38,517.2,29.4
Gombo (Okra),6.32,839.0,24.8
Sésame (Sesame),6.87,405.6,25.3
Maïs (Maize),6.49,782.9,25.8
Sorgho (Sorghum),6.48,572.0,32.9
Arachide (Groundnut),5.9,662.9,24.5
Sésame (Sesame),6.71,688.9,29.0
Arachide (Groundnut),5.92,598.4,25.7
Patate douce (Sweet Potato),5.9,942.9,25.6
Arachide (Groundnut),6.0,693.3,22.8
Sorgho (Sorghum),7.17,467.7,29.8
Gombo (Okra),6.16,773.8,20.6
Patate douce (Sweet Potato),5.83,826.6,25.6
Arachide (Groundnut),5.87,682.5,23.3
Patate douce (Sweet Potato),5.99,1046.3,26.4
Niébé (Cowpea),5.67,596.7,34.7
Maïs (Maize),6.18,683.8,21.2
Riz pluvial (Rainfed Rice),6.03,687.1,27.7
Niébé (Cowpea),5.99,585.2,26.7
Sésame (Sesame),6.91,437.4,29.7
Riz pluvial (Rainfed Rice),6.09,683.6,26.6
Sésame (Sesame),6.37,442.7,31.8
Maïs (Maize),6.03,754.8,31.7
Manioc (Cassava),5.5,1329.6,27.8
Arachide (Groundnut),6.01,703.0,26.9
Niébé (Cowpea),6.37,516.1,29.8
Sésame (Sesame),6.65,530.2,28.8
Sorgho (Sorghum),6.72,441.2,28.8
Niébé (Cowpea),5.88,551.0,32.6
Riz pluvial (Rainfed Rice),5.65,641.1,27.1
Arachide (Groundnut),5.96,857.3,27.5
Gombo (Okra),6.28,707.6,30.6
Niébé (Cowpea),6.12,404.8,27.4
Gombo (Okra),6.35,692.6,27.1
Manioc (Cassava),6.61,1174.5,27.4
Gombo (Okra),6.72,816.2,24.9
Manioc (Cassava),6.01,1363.7,30.7
Manioc (Cassava),6.77,1464.2,31.5
Sorgho (Sorghum),7.32,610.7,26.2
Patate douce (Sweet Potato),6.0,1002.5,27.0
Sorgho (Sorghum),6.73,514.2,28.5
Niébé (Cowpea),5.59,441.8,28.1
Manioc (Cassava),6.59,1473.5,31.7
Patate douce (Sweet Potato),5.84,925.9,23.6
Sésame (Sesame),6.89,516.3,32.3
Niébé (Cowpea),6.12,394.6,27.6
Niébé (Cowpea),5.68,599.6,27.9
Manioc (Cassava),5.54,1230.7,33.7
Sésame (Sesame),6.34,560.0,32.2
Manioc (Cassava),5.96,1265.7,33.8
Riz pluvial (Rainfed Rice),6.49,634.6,31.1
Maïs (Maize),6.44,561.6,31.6
Niébé (Cowpea),6.46,377.4,27.6
Sorgho (Sorghum),6.37,525.6,25.7
Niébé (Cowpea),5.86,590.8,31.0
Manioc (Cassava),5.51,1099.0,28.6
Arachide (Groundnut),6.16,556.6,24.9
Patate douce (Sweet Potato),5.93,1062.4,28.4
Riz pluvial (Rainfed Rice),6.15,641.9,28.5
Niébé (Cowpea),6.14,363.1,33.3
Sésame (Sesame),6.93,669.5,31.2
Manioc (Cassava),5.68,1069.4,31.7
Patate douce (Sweet Potato),6.07,921.4,23.9
Maïs (Maize),6.35,679.1,27.2
Arachide (Groundnut),5.86,786.2,21.6
Arachide (Groundnut),5.82,534.7,29.2
Manioc (Cassava),6.17,1075.7,25.0
Niébé (Cowpea),5.92,471.0,26.8
Sorgho (Sorghum),6.34,445.5,29.1
Gombo (Okra),5.8,717.0,31.0
Arachide (Groundnut),5.88,837.9,23.7
Niébé (Cowpea),6.34,415.1,26.3
Gombo (Okra),6.5,811.5,29.0
Sésame (Sesame),6.33,510.6,25.4
Patate douce (Sweet Potato),5.89,772.9,27.4
Niébé (Cowpea),5.63,490.9,26.0
Riz pluvial (Rainfed Rice),5.97,659.1,31.0
Patate douce (Sweet Potato),6.16,914.5,23.3
Arachide (Groundnut),5.97,714.8,23.8
Manioc (Cassava),6.57,1075.4,26.8
Niébé (Cowpea),6.44,590.1,32.0
Niébé (Cowpea),5.82,476.3,31.4
Gombo (Okra),6.25,634.2,20.8
Maïs (Maize),6.15,576.4,20.4
Gombo (Okra),5.89,788.0,33.4
Patate douce (Sweet Potato),6.06,864.7,29.7
Gombo (Okra),6.24,773.5,24.4
Sésame (Sesame),6.52,598.6,33.7
Niébé (Cowpea),6.29,491.2,31.5
Arachide (Groundnut),6.14,653.1,25.7
Gombo (Okra),6.35,819.5,27.0
Arachide (Groundnut),6.1,537.9,27.0
Sorgho (Sorghum),6.88,569.7,28.7
Niébé (Cowpea),6.24,389.1,31.8
Gombo (Okra),6.7,720.4,34.6
Sésame (Sesame),6.45,561.6,28.5
Manioc (Cassava),6.48,1307.1,32.0
Niébé (Cowpea),5.58,422.3,33.6
Niébé (Cowpea),6.46,449.2,32.9
Sorgho (Sorghum),7.06,620.5,34.9
Gombo (Okra),6.47,694.8,27.6
Patate douce (Sweet Potato),5.87,960.6,21.8
Niébé (Cowpea),6.31,543.6,29.1
Sorgho (Sorghum),6.44,644.4,30.4
Maïs (Maize),6.44,519.6,24.4
Gombo (Okra),6.35,753.3,20.0
Niébé (Cowpea),5.65,426.4,29.3
Manioc (Cassava),5.92,1164.3,33.0
Niébé (Cowpea),6.24,494.4,28.9
Niébé (Cowpea),6.07,386.0,29.9
Niébé (Cowpea),5.58,595.0,28.5
Riz pluvial (Rainfed Rice),6.18,681.4,31.0
Arachide (Groundnut),5.94,825.4,22.5
Riz pluvial (Rainfed Rice),5.69,670.8,27.0
Arachide (Groundnut),5.99,722.5,26.6
Patate douce (Sweet Potato),5.91,892.2,23.9
Niébé (Cowpea),6.49,419.6,25.0
Arachide (Groundnut),6.17,699.7,25.9
Sésame (Sesame),6.74,642.6,26.0
Riz pluvial (Rainfed Rice),6.02,651.9,29.3
Patate douce (Sweet Potato),6.13,847.2,24.1
Niébé (Cowpea),6.39,537.8,25.7
Patate douce (Sweet Potato),6.0,1086.4,28.2
Niébé (Cowpea),6.48,437.9,33.1
Niébé (Cowpea),6.07,495.6,26.7
Manioc (Cassava),6.03,1055.9,32.1
Manioc (Cassava),6.18,1069.5,28.8
Gombo (Okra),6.11,684.1,23.7
Arachide (Groundnut),6.09,567.1,28.4
Mil (Pearl Millet),5.26,515.1,33.6
Arachide (Groundnut),6.12,593.4,24.2
Maïs (Maize),6.23,895.6,22.1
Gombo (Okra),6.09,674.4,20.5
Arachide (Groundnut),6.03,666.5,26.2
Sésame (Sesame),6.68,545.5,27.8
Patate douce (Sweet Potato),5.84,981.5,21.1
Mil (Pearl Millet),5.81,804.0,34.4
Arachide (Groundnut),5.88,637.2,28.5
Arachide (Groundnut),6.1,752.9,25.7
Patate douce (Sweet Potato),5.8,876.5,28.2
Gombo (Okra),5.84,855.9,32.5
Maïs (Maize),6.19,608.3,31.1
Riz pluvial (Rainfed Rice),5.97,654.7,30.0
Patate douce (Sweet Potato),5.91,930.6,26.9
Manioc (Cassava),5.88,1157.5,29.2
Manioc (Cassava),6.51,1123.3,30.2
Manioc (Cassava),6.49,1355.6,30.5
Niébé (Cowpea),5.79,428.7,27.3
Maïs (Maize),6.23,526.8,28.2
Gombo (Okra),6.69,793.4,28.6
Sorgho (Sorghum),6.17,538.2,25.6
Gombo (Okra),6.36,740.9,29.3
Maïs (Maize),6.27,842.0,23.8
Sésame (Sesame),6.25,426.0,28.1
Arachide (Groundnut),5.89,814.6,24.9
Mil (Pearl Millet),5.69,503.1,37.7
Gombo (Okra),6.62,680.8,26.7
Mil (Pearl Millet),5.7,581.2,36.8
Patate douce (Sweet Potato),5.99,941.2,25.8
Arachide (Groundnut),6.18,545.9,22.2
Manioc (Cassava),6.41,1328.5,32.8
Manioc (Cassava),6.44,1394.0,25.3
Niébé (Cowpea),5.62,412.7,32.1
Sorgho (Sorghum),7.41,487.0,34.9
Gombo (Okra),6.5,715.6,26.3
Mil (Pearl Millet),5.31,520.2,37.6
Gombo (Okra),6.37,707.4,32.5
Riz pluvial (Rainfed Rice),5.62,678.0,31.4
Gombo (Okra),5.97,787.2,20.0
Patate douce (Sweet Potato),5.97,830.0,27.1
Sésame (Sesame),6.1,479.6,29.8
Niébé (Cowpea),6.45,507.1,34.5
Manioc (Cassava),6.86,1181.7,31.6
Mil (Pearl Millet),5.53,664.3,33.2
Niébé (Cowpea),5.84,476.8,27.8
Riz pluvial (Rainfed Rice),5.73,632.8,30.5
Maïs (Maize),6.46,587.2,32.4
Gombo (Okra),5.96,649.7,20.6
Gombo (Okra),5.95,668.8,23.5
Riz pluvial (Rainfed Rice),5.52,657.1,27.4
Maïs (Maize),6.0,834.1,20.7
Maïs (Maize),6.36,881.9,24.7
Sésame (Sesame),6.77,491.0,33.8
Maïs (Maize),6.19,540.2,32.1
Gombo (Okra),6.25,892.5,29.9
Sorgho (Sorghum),6.54,436.6,32.3
Niébé (Cowpea),6.11,422.6,34.6
Sésame (Sesame),6.91,515.4,26.0
Gombo (Okra),6.18,792.4,28.5
Gombo (Okra),6.42,609.0,23.5
Riz pluvial (Rainfed Rice),5.78,695.2,31.5
Arachide (Groundnut),5.9,592.6,21.2
Patate douce (Sweet Potato),5.97,1061.0,26.9
Mil (Pearl Millet),5.72,742.9,30.2
Riz pluvial (Rainfed Rice),6.47,672.6,25.4
Patate douce (Sweet Potato),5.81,794.8,21.4
Riz pluvial (Rainfed Rice),5.88,685.3,27.4
Sorgho (Sorghum),7.08,419.3,26.2
Arachide (Groundnut),5.97,594.0,29.6
Patate douce (Sweet Potato),6.1,1044.2,28.5
Arachide (Groundnut),5.84,515.3,27.2
Sorgho (Sorghum),7.26,428.5,32.0
Arachide (Groundnut),6.19,682.7,21.9
Gombo (Okra),6.64,871.2,32.6
Arachide (Groundnut),5.96,670.2,23.3
Patate douce (Sweet Potato),6.01,855.6,22.3
Sorgho (Sorghum),6.02,500.0,27.5
Sésame (Sesame),6.25,698.8,29.4
Riz pluvial (Rainfed Rice),6.01,684.7,26.5
Sésame (Sesame),6.25,677.9,31.7
Maïs (Maize),6.03,860.3,31.2
Mil (Pearl Millet),5.55,885.4,31.3
Arachide (Groundnut),5.83,813.9,22.7
Niébé (Cowpea),6.24,562.5,27.3
Maïs (Maize),6.42,555.8,30.8
Mil (Pearl Millet),5.82,625.1,38.3
Sorgho (Sorghum),6.47,619.3,27.6
Maïs (Maize),6.36,855.1,21.1
Patate douce (Sweet Potato),5.99,826.2,21.5
Sorgho (Sorghum),7.02,452.4,32.2
Niébé (Cowpea),5.95,592.3,30.8
Arachide (Groundnut),5.83,613.5,21.8
Arachide (Groundnut),5.94,529.2,27.6
Niébé (Cowpea),5.59,586.6,27.1
Patate douce (Sweet Potato),5.85,766.3,28.9
Arachide (Groundnut),5.93,808.6,26.1
Gombo (Okra),6.26,666.4,27.9
Patate douce (Sweet Potato),5.81,991.4,21.4
Sésame (Sesame),6.82,634.6,28.8
Riz pluvial (Rainfed Rice),6.5,620.4,25.3
Niébé (Cowpea),6.5,384.3,26.2
Sorgho (Sorghum),6.04,469.9,33.0
Niébé (Cowpea),6.13,394.9,30.8
Patate douce (Sweet Potato),6.11,938.9,21.3
Patate douce (Sweet Potato),5.81,970.3,21.1
Riz pluvial (Rainfed Rice),6.43,603.4,31.4
Arachide (Groundnut),6.06,544.3,26.9
Riz pluvial (Rainfed Rice),6.33,699.5,28.3
Gombo (Okra),6.68,622.2,29.4
Sésame (Sesame),6.17,548.4,31.3
Sésame (Sesame),6.28,581.8,25.6
Mil (Pearl Millet),5.6,580.8,33.0
Gombo (Okra),5.86,633.2,28.1
Gombo (Okra),6.02,793.2,33.6
Manioc (Cassava),6.54,1223.3,31.2
Mil (Pearl Millet),5.73,728.1,30.1
Maïs (Maize),6.5,620.8,22.9
Riz pluvial (Rainfed Rice),5.74,610.2,31.2
Mil (Pearl Millet),5.5,779.6,30.9
Manioc (Cassava),6.37,1382.6,29.5
Sorgho (Sorghum),6.84,605.7,34.5
Sorgho (Sorghum),6.01,575.6,32.8
Riz pluvial (Rainfed Rice),6.31,646.1,30.3
Sésame (Sesame),6.89,435.1,29.8
Sésame (Sesame),6.41,606.5,28.4
Gombo (Okra),6.39,613.5,27.8
Sésame (Sesame),6.5,687.7,27.4
Sorgho (Sorghum),7.34,568.8,31.5
Gombo (Okra),6.65,692.2,20.8
Manioc (Cassava),6.45,1392.2,34.7
Niébé (Cowpea),6.19,558.7,29.0
Sorgho (Sorghum),6.0,498.4,31.2
Maïs (Maize),6.3,708.0,32.6
Patate douce (Sweet Potato),5.99,1016.4,24.4
Patate douce (Sweet Potato),6.07,916.0,28.2
Niébé (Cowpea),5.66,558.7,32.7
Manioc (Cassava),5.64,1167.8,26.7
Manioc (Cassava),6.13,1269.5,26.3
Arachide (Groundnut),6.1,814.9,29.2
Patate douce (Sweet Potato),6.0,1076.7,21.8
Riz pluvial (Rainfed Rice),5.99,669.7,31.1
Sésame (Sesame),6.61,504.7,26.2
Niébé (Cowpea),6.3,424.3,26.0
Niébé (Cowpea),5.52,486.0,28.9
Riz pluvial (Rainfed Rice),6.35,694.9,25.7
Arachide (Groundnut),6.14,857.0,29.5
Sorgho (Sorghum),6.26,630.6,34.9
Niébé (Cowpea),6.44,530.4,27.8
Mil (Pearl Millet),5.98,826.6,34.1
Gombo (Okra),6.74,687.2,27.4
Sésame (Sesame),6.89,616.1,28.6
Arachide (Groundnut),6.1,654.4,24.6
Maïs (Maize),6.44,531.3,32.3
Maïs (Maize),6.36,780.1,23.5
Patate douce (Sweet Potato),6.04,886.6,27.1
Patate douce (Sweet Potato),6.1,889.9,21.9
Manioc (Cassava),6.56,1127.0,26.0
Riz pluvial (Rainfed Rice),6.14,610.4,27.7
Maïs (Maize),6.36,689.4,29.2
Gombo (Okra),6.3,736.0,28.7
Riz pluvial (Rainfed Rice),6.32,682.2,29.3
Arachide (Groundnut),5.84,667.9,28.2
Riz pluvial (Rainfed Rice),6.04,688.0,31.4
Maïs (Maize),6.24,735.5,28.4
Gombo (Okra),6.22,716.6,33.7
Sorgho (Sorghum),6.78,511.7,33.1
Sésame (Sesame),6.68,615.6,27.3
Sorgho (Sorghum),6.11,423.5,26.7
Manioc (Cassava),6.09,1403.5,27.3
Manioc (Cassava),6.73,1336.8,32.5
Manioc (Cassava),6.16,1490.7,25.4
Mil (Pearl Millet),5.53,690.8,34.8
Mil (Pearl Millet),5.92,535.0,32.1
Arachide (Groundnut),6.06,549.5,26.6
Sésame (Sesame),6.29,529.6,33.8
Riz pluvial (Rainfed Rice),6.25,630.5,27.8
Sorgho (Sorghum),6.43,580.2,30.5
Niébé (Cowpea),6.19,363.9,27.7
Niébé (Cowpea),6.49,528.9,34.8
Gombo (Okra),6.07,689.2,22.2
Sésame (Sesame),6.8,612.4,29.1
Sorgho (Sorghum),7.12,411.1,28.5
Mil (Pearl Millet),5.23,719.7,31.9
Riz pluvial (Rainfed Rice),5.8,639.7,31.3
Gombo (Okra),6.22,640.6,34.2
Manioc (Cassava),6.07,1303.0,28.9
Patate douce (Sweet Potato),5.87,964.6,26.7
Patate douce (Sweet Potato),6.01,799.9,23.2
Sorgho (Sorghum),6.56,516.0,30.5
Arachide (Groundnut),5.94,773.6,27.9
Mil (Pearl Millet),5.74,739.7,36.9
Sésame (Sesame),6.17,527.8,29.0
Mil (Pearl Millet),5.74,638.5,35.9
Niébé (Cowpea),6.08,536.1,29.4
Maïs (Maize),6.07,646.9,22.3
Riz pluvial (Rainfed Rice),6.07,641.9,31.4
Sorgho (Sorghum),6.22,536.9,32.1
Gombo (Okra),6.64,658.9,34.5
Manioc (Cassava),5.8,1462.4,26.8
Maïs (Maize),6.11,777.8,30.6
Mil (Pearl Millet),5.63,763.0,36.3
Maïs (Maize),6.04,821.6,24.3
Arachide (Groundnut),5.8,686.1,27.2
Patate douce (Sweet Potato),5.83,944.4,24.1
Sésame (Sesame),6.78,610.7,32.2
Sorgho (Sorghum),6.74,440.9,25.3
Mil (Pearl Millet),5.79,763.0,33.5
Maïs (Maize),6.17,625.9,31.8
Manioc (Cassava),6.53,1416.1,29.4
Gombo (Okra),6.59,745.0,32.0
Patate douce (Sweet Potato),6.17,992.1,24.2
Mil (Pearl Millet),5.2,859.3,34.7
Niébé (Cowpea),6.36,367.1,26.1
Sésame (Sesame),6.37,450.3,25.6
Riz pluvial (Rainfed Rice),6.09,617.2,26.6
Gombo (Okra),5.95,782.1,23.3
Sorgho (Sorghum),6.19,461.8,34.5
Niébé (Cowpea),6.18,460.3,34.0
Manioc (Cassava),6.8,1030.2,25.8
Arachide (Groundnut),6.08,598.2,28.7
Niébé (Cowpea),6.17,499.5,33.3
Sorgho (Sorghum),6.14,448.8,31.6
Sésame (Sesame),6.77,526.4,33.8
Mil (Pearl Millet),5.96,781.4,30.2
Arachide (Groundnut),6.13,791.6,26.5
Manioc (Cassava),6.38,1258.9,34.8
Niébé (Cowpea),6.45,507.1,32.8
Sésame (Sesame),6.88,643.8,29.8
Mil (Pearl Millet),5.43,566.6,34.1
Gombo (Okra),5.84,644.9,26.3
Patate douce (Sweet Potato),6.13,1045.0,28.2
Maïs (Maize),6.46,767.8,30.5
Niébé (Cowpea),6.01,417.6,32.7
Niébé (Cowpea),5.74,527.9,31.7
Sésame (Sesame),6.78,403.6,30.8
Niébé (Cowpea),5.93,493.2,30.6
Riz pluvial (Rainfed Rice),5.89,629.0,25.9
Niébé (Cowpea),5.86,431.8,28.4
Gombo (Okra),5.82,852.2,21.6
Patate douce (Sweet Potato),5.84,841.3,30.0
Sorgho (Sorghum),6.09,522.5,34.9
Niébé (Cowpea),5.82,479.5,31.5
Riz pluvial (Rainfed Rice),6.36,603.1,25.1
Maïs (Maize),6.22,774.4,25.2
Gombo (Okra),6.03,844.8,20.7
Riz pluvial (Rainfed Rice),5.53,663.2,25.8
Arachide (Groundnut),6.05,592.2,27.6
Riz pluvial (Rainfed Rice),6.34,640.0,29.7
Mil (Pearl Millet),5.83,552.2,38.8
Patate douce (Sweet Potato),5.81,1014.1,29.1
Manioc (Cassava),5.88,1237.1,27.6
Maïs (Maize),6.11,564.4,23.9
Patate douce (Sweet Potato),6.1,962.8,21.3
Maïs (Maize),6.0,602.4,25.6
Manioc (Cassava),6.83,1228.6,27.9
Gombo (Okra),6.79,821.8,24.6
Arachide (Groundnut),5.97,561.7,24.0
Gombo (Okra),6.36,769.2,29.7
Niébé (Cowpea),6.01,587.0,31.0
Maïs (Maize),6.13,551.9,24.2
Manioc (Cassava),5.52,1440.4,30.7
Niébé (Cowpea),5.98,384.7,30.4
Niébé (Cowpea),6.43,367.9,26.4
Gombo (Okra),6.42,753.2,26.6
Arachide (Groundnut),6.0,627.1,23.4
Sorgho (Sorghum),6.77,596.2,33.9
Sésame (Sesame),6.62,447.8,34.3
Manioc (Cassava),6.02,1100.5,25.0
Gombo (Okra),6.68,806.4,32.9
Riz pluvial (Rainfed Rice),5.87,696.4,25.6
Patate douce (Sweet Potato),6.0,873.6,26.1
Arachide (Groundnut),6.07,769.3,25.0
Maïs (Maize),6.48,781.0,32.3
Gombo (Okra),6.16,819.9,28.3
Gombo (Okra),6.55,759.1,25.1
Arachide (Groundnut),5.92,580.8,28.2
Arachide (Groundnut),5.83,766.0,29.1
Riz pluvial (Rainfed Rice),6.22,669.7,25.0
Maïs (Maize),6.48,551.2,20.3
Mil (Pearl Millet),5.34,730.6,39.8
Sésame (Sesame),6.28,674.7,25.5
Patate douce (Sweet Potato),6.14,1050.2,24.4
Mil (Pearl Millet),5.3,875.0,38.0
Niébé (Cowpea),5.97,595.3,32.7
Sésame (Sesame),6.8,593.6,33.2
Niébé (Cowpea),6.27,552.7,34.1
Niébé (Cowpea),5.76,527.4,29.1
Patate douce (Sweet Potato),5.82,875.1,23.5
Niébé (Cowpea),6.43,598.5,26.3
Niébé (Cowpea),5.9,539.8,29.9
Maïs (Maize),6.08,893.3,27.3
Patate douce (Sweet Potato),6.12,946.9,28.4
Gombo (Okra),6.03,833.6,23.0
Maïs (Maize),6.0,533.2,28.2
Maïs (Maize),6.02,806.4,30.5
Mil (Pearl Millet),5.58,656.3,35.8
Maïs (Maize),6.27,508.3,22.8
Riz pluvial (Rainfed Rice),5.78,694.3,31.3
Manioc (Cassava),6.48,1343.6,28.6
Riz pluvial (Rainfed Rice),5.82,696.1,28.1
Mil (Pearl Millet),5.41,874.9,32.1
Sésame (Sesame),6.46,611.7,26.5
Niébé (Cowpea),5.94,389.8,25.5
Riz pluvial (Rainfed Rice),6.17,635.8,29.6
Gombo (Okra),6.2,889.3,28.1
Mil (Pearl Millet),5.34,525.8,32.8
Arachide (Groundnut),6.06,891.3,22.0
Patate douce (Sweet Potato),6.12,901.0,22.9
Mil (Pearl Millet),5.73,601.9,33.7
Arachide (Groundnut),6.14,713.1,29.7
Sorgho (Sorghum),7.16,532.5,27.0
Mil (Pearl Millet),5.98,728.1,34.9
Maïs (Maize),6.35,639.8,22.3
Sorgho (Sorghum),6.01,412.5,33.6
Manioc (Cassava),6.63,1242.8,25.4
Manioc (Cassava),6.54,1143.8,26.7
Gombo (Okra),6.55,778.7,21.9
Manioc (Cassava),5.85,1317.9,30.4
Sorgho (Sorghum),7.06,518.2,25.7
Sésame (Sesame),6.38,411.7,25.6
Maïs (Maize),6.46,505.9,28.3
Sésame (Sesame),6.29,588.9,26.3
Sorgho (Sorghum),7.39,525.8,28.5
Sésame (Sesame),6.3,532.8,30.1
Patate douce (Sweet Potato),5.96,782.7,29.2
Maïs (Maize),6.09,551.8,24.3
Maïs (Maize),6.05,584.0,20.9
Sorgho (Sorghum),6.67,503.6,26.2
Maïs (Maize),6.45,876.9,29.8
Riz pluvial (Rainfed Rice),5.95,614.2,25.9
Riz pluvial (Rainfed Rice),6.45,660.9,31.3
Gombo (Okra),6.65,658.6,31.8
Patate douce (Sweet Potato),5.89,850.4,29.0
Gombo (Okra),6.34,818.8,32.6
Sorgho (Sorghum),7.33,617.0,29.0
Mil (Pearl Millet),5.71,593.7,38.9
Riz pluvial (Rainfed Rice),5.64,614.2,25.0
Sorgho (Sorghum),7.32,552.5,33.9
Mil (Pearl Millet),5.26,736.9,39.7
Manioc (Cassava),6.34,1401.2,27.9
Arachide (Groundnut),6.14,514.2,25.7
Patate douce (Sweet Potato),6.16,1050.0,30.0
Maïs (Maize),6.07,771.2,31.3
Maïs (Maize),6.05,705.0,29.1
Riz pluvial (Rainfed Rice),6.43,654.4,28.7
Niébé (Cowpea),6.43,360.3,34.2
Riz pluvial (Rainfed Rice),6.28,601.7,27.3
Sorgho (Sorghum),6.12,501.1,30.4
Mil (Pearl Millet),5.96,876.0,34.5
Sésame (Sesame),6.31,479.1,25.5
Niébé (Cowpea),5.91,491.0,31.2
Sésame (Sesame),6.24,629.4,33.2
Gombo (Okra),6.3,744.4,30.2
Manioc (Cassava),6.78,1160.4,34.8
Gombo (Okra),6.01,618.2,33.9
Sorgho (Sorghum),6.33,476.4,32.2
Manioc (Cassava),6.98,1096.2,30.1
Sésame (Sesame),6.43,486.0,28.1
Niébé (Cowpea),6.1,422.1,31.9
Riz pluvial (Rainfed Rice),6.12,687.4,28.4
Maïs (Maize),6.17,729.6,31.1
Arachide (Groundnut),6.13,510.3,21.3
Sorgho (Sorghum),6.88,575.8,30.6
Maïs (Maize),6.24,825.3,32.2
Sorgho (Sorghum),6.12,406.6,28.7
Patate douce (Sweet Potato),6.15,1023.6,23.5
Niébé (Cowpea),6.4,410.4,28.4
Gombo (Okra),5.93,781.5,23.7
Sésame (Sesame),6.12,495.4,25.8
Riz pluvial (Rainfed Rice),6.42,664.7,30.7
Niébé (Cowpea),5.61,546.7,25.1
Manioc (Cassava),6.42,1078.8,29.1
Riz pluvial (Rainfed Rice),6.04,679.0,30.0
Riz pluvial (Rainfed Rice),6.25,603.1,31.0
Sorgho (Sorghum),7.39,413.5,31.3
Niébé (Cowpea),5.77,509.1,31.5
Niébé (Cowpea),5.55,489.4,32.4
Sésame (Sesame),6.91,480.5,33.4
Niébé (Cowpea),6.07,453.2,28.7
Sésame (Sesame),6.3,653.0,31.1
Maïs (Maize),6.3,582.8,21.0
Manioc (Cassava),5.95,1280.9,29.3
Mil (Pearl Millet),5.36,853.2,32.5
Arachide (Groundnut),6.02,623.2,25.5
Mil (Pearl Millet),5.97,747.6,30.2
Patate douce (Sweet Potato),5.82,1023.8,25.3
Arachide (Groundnut),6.06,879.4,26.6
Riz pluvial (Rainfed Rice),5.62,682.7,27.6
Riz pluvial (Rainfed Rice),6.07,678.7,26.4
Patate douce (Sweet Potato),5.85,976.8,25.0
Manioc (Cassava),5.92,1428.9,26.4
Arachide (Groundnut),5.83,760.1,21.6
Niébé (Cowpea),6.28,474.9,31.0
Riz pluvial (Rainfed Rice),6.42,656.8,28.5
Sorgho (Sorghum),7.31,460.2,25.1
Maïs (Maize),6.35,824.7,25.5
Sorgho (Sorghum),6.17,639.9,26.7
Patate douce (Sweet Potato),6.06,802.6,22.0
Arachide (Groundnut),6.19,763.9,28.2
Sésame (Sesame),6.29,688.8,25.3
Sésame (Sesame),6.22,402.8,32.0
Patate douce (Sweet Potato),6.0,908.5,22.0
Sésame (Sesame),6.31,455.8,28.0
Sorgho (Sorghum),6.45,612.8,27.1
Maïs (Maize),6.06,771.9,25.9
Patate douce (Sweet Potato),5.82,1037.2,24.7
Niébé (Cowpea),5.56,366.3,27.7
Sésame (Sesame),6.73,436.6,33.9
Riz pluvial (Rainfed Rice),5.92,673.5,25.6
Gombo (Okra),6.52,822.6,30.4
Sorgho (Sorghum),6.47,484.4,29.9
Riz pluvial (Rainfed Rice),6.48,623.2,29.6
Arachide (Groundnut),5.99,689.5,21.1
Patate douce (Sweet Potato),5.89,803.5,26.3
Maïs (Maize),6.35,861.6,29.1
Manioc (Cassava),5.86,1065.9,27.6
Maïs (Maize),6.21,688.1,30.3
Sésame (Sesame),6.89,430.8,32.7
Niébé (Cowpea),6.09,555.3,28.1
Maïs (Maize),6.34,676.7,29.5
Arachide (Groundnut),6.18,525.4,23.1
Maïs (Maize),6.09,766.3,29.1
Patate douce (Sweet Potato),6.2,918.6,22.0
Manioc (Cassava),6.34,1382.6,33.6
Niébé (Cowpea),6.46,573.9,34.7
Patate douce (Sweet Potato),6.07,1077.5,22.7
Sésame (Sesame),6.76,437.0,31.4
Maïs (Maize),6.49,615.5,25.0
Manioc (Cassava),5.8,1452.9,29.7
Sésame (Sesame),6.27,556.3,25.0
Gombo (Okra),6.16,856.0,31.9
Arachide (Groundnut),6.18,642.0,27.3
Patate douce (Sweet Potato),5.82,848.2,25.1
Riz pluvial (Rainfed Rice),5.71,636.6,25.3
Arachide (Groundnut),5.97,584.5,22.8
Riz pluvial (Rainfed Rice),6.35,666.7,30.1
Mil (Pearl Millet),5.5,682.8,35.7
Maïs (Maize),6.18,552.4,27.7
Gombo (Okra),6.25,771.5,20.7
Sésame (Sesame),6.52,462.8,26.0
Manioc (Cassava),5.6,1447.3,28.2
Patate douce (Sweet Potato),6.1,793.4,24.4
Mil (Pearl Millet),5.59,823.6,38.5
Sésame (Sesame),6.37,616.7,30.4
Patate douce (Sweet Potato),5.98,785.2,22.5
Manioc (Cassava),5.65,1271.1,32.4
Mil (Pearl Millet),5.43,649.9,32.0
Sorgho (Sorghum),6.74,492.8,32.4
Arachide (Groundnut),6.07,686.6,29.0
Patate douce (Sweet Potato),5.9,826.2,28.2
Sésame (Sesame),6.9,691.2,32.6
Manioc (Cassava),6.99,1272.0,33.9
Gombo (Okra),5.9,667.8,34.7
Patate douce (Sweet Potato),5.94,958.9,22.6
Mil (Pearl Millet),5.94,569.3,38.3
Arachide (Groundnut),5.83,565.2,22.2
Riz pluvial (Rainfed Rice),5.61,601.2,26.2
Arachide (Groundnut),5.98,709.7,22.8
Riz pluvial (Rainfed Rice),5.91,621.4,29.8
Riz pluvial (Rainfed Rice),6.09,637.2,26.1
